aliveTime,authTime,connectTime,httpType,ipAddress,position,speed
97天,2017/6/15 8:45,0.394,HTTP,175.155.245.122:808,四川德阳,1.972
,,,,,,
28天,2017/6/15 8:44,0.065,HTTP,115.220.145.36:808,浙江宁波,0.328
,,,,,,
106天,2017/6/15 8:50,0.047,HTTP,175.155.24.17:808,四川德阳,0.239
,,,,,,
1分钟,2017/6/15 8:46,0.167,HTTP,123.163.163.54:808,河南三门峡,0.835
,,,,,,
1分钟,2017/6/15 8:45,0.043,HTTPS,115.151.6.123:808,江西宜春,0.217
,,,,,,
97天,2017/6/15 8:45,0.394,HTTP,175.155.245.122:808,四川德阳,1.972
,,,,,,
28天,2017/6/15 8:44,0.065,HTTP,115.220.145.36:808,浙江宁波,0.328
,,,,,,
1分钟,2017/6/15 8:44,0.36,HTTPS,121.226.169.164:808,江苏,1.803
,,,,,,
90天,2017/6/15 8:44,0.91,HTTP,114.239.149.2:808,江苏宿迁市泗阳县,4.552
,,,,,,
1分钟,2017/6/15 8:44,0.103,HTTPS,119.7.79.242:808,四川德阳,0.518
,,,,,,
1分钟,2017/6/15 8:44,0.554,HTTPS,60.167.23.5:808,安徽芜湖,2.77
,,,,,,
105天,2017/6/15 8:40,0.05,HTTP,119.5.1.26:808,四川南充,0.252
,,,,,,
1小时,2017/6/15 8:40,0.136,HTTPS,117.91.138.202:808,江苏扬州,0.68
,,,,,,
1小时,2017/6/15 8:34,1.104,HTTP,119.7.72.97:808,四川德阳,5.52
,,,,,,
4天,2017/6/15 8:33,0.516,HTTPS,110.83.46.214:808,福建福州,2.583
,,,,,,
59天,2017/6/15 8:33,0.263,HTTP,115.220.6.223:808,浙江宁波,1.319
,,,,,,
103天,2017/6/15 8:33,0.051,HTTP,119.5.1.3:808,四川南充,0.258
,,,,,,
1分钟,2017/6/15 8:33,0.137,HTTPS,175.155.137.98:808,四川德阳,0.687
,,,,,,
11天,2017/6/15 8:30,0.08,HTTP,123.55.188.74:808,河南三门峡,0.402
,,,,,,
69天,2017/6/15 8:30,0.263,HTTP,115.220.151.101:808,浙江宁波,1.319
,,,,,,
1分钟,2017/6/15 8:30,0.065,HTTP,114.239.144.254:808,江苏宿迁市泗阳县,0.326
,,,,,,
106天,2017/6/15 8:30,0.2,HTTP,119.5.0.53:808,四川南充,1.004
,,,,,,
1分钟,2017/6/15 8:30,0.043,HTTP,122.241.73.4:808,浙江丽水,0.215
,,,,,,
88天,2017/6/15 8:30,0.078,HTTP,36.249.27.93:808,福建泉州,0.392
,,,,,,
28分钟,2017/6/15 8:23,0.616,HTTPS,125.92.33.68:808,广东江门,3.082
,,,,,,
3小时,2017/6/15 8:22,0.056,HTTP,123.96.139.180:808,浙江舟山,0.281
,,,,,,
1分钟,2017/6/15 8:22,0.647,HTTPS,123.55.92.23:808,河南新乡市牧野区,3.237
,,,,,,
4天,2017/6/15 8:22,0.388,HTTPS,222.76.118.4:808,福建福州,1.943
,,,,,,
1分钟,2017/6/15 8:22,0.065,HTTPS,115.215.70.231:808,浙江宁波,0.328
,,,,,,
1分钟,2017/6/15 8:22,0.146,HTTPS,110.73.15.171:8123,广西防城港,0.73
,,,,,,
1分钟,2017/6/15 8:22,1.002,HTTPS,115.151.242.84:808,江西,5.011
,,,,,,
